Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"15,867.00",2.42,"16,122.72","6,827.44",111.11,"9,969.92","24,172.00",1.41,"9,553.56",2057,62298571
"15,654.00",2.61,"17,237.87","6,128.67",99.71,"9,891.20","25,843.88",0.52,"10,437.38",2031,62952642
"15,578.00",2.77,"18,698.51","7,673.26",108.11,"10,125.42","28,033.75",0.26,"10,353.77",1922,63539196
"15,389.00",2.9,"18,670.54","7,328.42",110.52,"9,653.53","27,991.82",0.9,"10,463.93",2133,64069087
"15,200.00",2.9,"19,658.84","8,383.48",149.18,"10,163.88","29,473.52",7.92,"10,790.13",2405,64549866
"15,200.00",2.86,"19,035.00","9,970.80",131.7,"9,992.87","28,538.23",1.07,"10,875.02",2715,64995299
"15,200.00",2.96,"20,204.68","7,508.58",112.73,"10,224.97","30,291.87",2.38,"11,510.37",2956,65416189
"15,200.00",2.92,"19,771.13","7,414.58",117.4,"10,165.16","29,641.87",1.63,"11,677.30",3442,65812536
"15,200.00",3.01,"21,410.30","9,165.20",124.95,"10,668.90","32,099.40",3.15,"11,874.56",4058,66182067
"15,250.00",2.96,"21,110.97","10,186.68",130.52,"10,683.55","31,650.63",13.61,"12,422.41",4471,66530984
"15,695.00",2.88,"21,421.41","8,594.92",122.06,"11,141.45","32,116.06",20.83,"12,526.74",4298,66866839
"15,760.00",2.88,"22,950.80","8,905.75",162.16,"11,932.32","34,409.00",5.27,"12,981.17",5175,67195028
"15,760.00",3.1,"24,097.62","10,671.19",161.51,"11,649.51","36,128.37",10.63,"13,053.47",5601,67518382
"16,560.00",3.18,"24,991.76","6,704.30",150.96,"11,956.78","38,000.19",25.74,"13,732.28",5979,67835957
"16,810.00",3.15,"24,053.75","6,787.80",167.69,"11,684.32","36,762.28",21.31,"13,605.34",6296,68144501
,3.01,,,,"10,834.50","32,620.16",,,6080,68438730
"5,125.00",5.24,"7,204.12",854.16,373.66,"2,698.00","14,148.00",48.65,"7,842.27",2272,105697000
"5,057.00",5.85,"7,872.56",182.68,407.81,"2,643.00","15,450.50",4.7,"7,920.98",2967,107188000
"5,015.00",6.02,"8,042.82",514.12,447.68,"2,622.00","15,778.00",24.48,"7,964.74",3998,108079000
"4,978.00",5.86,"8,136.81",281.06,411.93,"2,724.00","15,964.00",62.08,"7,986.32",4354,110162000
"4,945.00",6.19,"8,716.65",10.07,364.27,"2,764.00","17,097.01",35.04,"7,972.05",4659,111940000
"4,921.00",5.48,"7,786.54",0.22,423.9,"2,779.00","15,228.00",20.96,"7,847.27",5198,112771000
"4,911.00",6.17,"8,669.39",16.78,432.5,"2,757.00","17,006.00",43.1,"7,713.81",6336,113863000
"4,898.00",6.18,"8,335.37",73.8,453.45,"2,548.00","15,736.00",62.09,"7,597.77",8822,114898000
"4,882.00",5.99,"7,915.96",559.68,480.13,"2,497.00","14,948.00",14.99,"7,472.24",9105,115870000
"4,874.00",5.13,"6,445.35",649.95,372.59,"2,377.00","12,189.00",13.81,"7,376.12",9466,116782000
"4,861.00",5.63,"6,781.51",788.81,386.55,"2,278.00","12,824.00",75.41,"7,347.86",10364,117648000
"4,852.00",5.69,"6,786.32",318.45,409.01,"2,257.00","12,838.00",65.96,"7,285.03",9578,118449000
"4,843.00",5.7,"6,848.76",320.27,433.29,"2,273.00","12,958.00",13.82,"7,272.85",10424,119259000
"4,836.00",6.41,"7,856.19",101.84,433.81,"2,315.00","14,848.00",150.33,"7,330.29",10982,120018000
"4,830.00",6.22,"7,714.79",0.14,419.05,"2,342.00","14,578.00",19.61,"7,303.68",11580,120754000
"4,820.00",6.32,"7,708.39",0.06,425.85,"2,303.00","14,559.00",20.65,"7,230.01",17118,121492000
"4,814.00",6.19,"7,034.98",0.03,423.06,"2,146.00","13,284.00",17.17,"7,081.05",20756,122091000
"4,806.00",5.89,"6,574.48",0.03,404.29,"2,110.00","12,419.00",16.01,"6,994.33",25065,122613000
"4,792.00",6.17,"6,853.02",0.02,404.42,"2,097.00","12,934.00",15.95,"6,971.88",24831,123116000
"4,768.00",6.33,"6,954.94",0.02,385.49,"2,074.00","13,124.00",18.33,"6,963.30",25380,123537000
"4,740.00",5.86,"6,358.37",0.02,369.62,"2,049.00","12,005.00",17.57,"6,946.24",28923,123921000
"4,714.00",6.28,"7,004.57",0.05,378.45,"2,106.00","13,216.00",17.91,"6,982.73",31430,124229000
"4,685.00",4.58,"6,469.90",0.05,387.85,"2,139.00","9,793.00",107.86,"6,927.85",35699,124536000
"4,660.00",6.77,"7,943.17",0.01,378.43,"2,212.00","14,976.00",794.95,"6,764.06",39220,124961000
"4,630.00",6.34,"7,121.43",11.94,354.45,"2,118.00","13,435.00",26.69,"6,855.59",43441,125439000
"4,602.00",6.54,"6,855.16",0.04,339.63,"1,977.00","12,930.00",414.9,"6,846.38",38451,125757000
"4,569.00",6.42,"6,643.86",35.85,330.42,"1,953.00","12,531.00",552.93,"6,833.70",35035,126057000
"4,535.00",6.22,"5,938.43",328.25,312.81,"1,801.00","11,200.00",482.07,"6,637.91",31916,126400000
"4,503.00",6.41,"6,082.40",131.94,319.5,"1,788.00","11,468.80",637.86,"6,668.33",36039,126631000
"4,474.00",6.7,"6,292.74",41.38,324.61,"1,770.00","11,863.00",645.18,"6,669.61",38536,126843000
"4,444.00",6.64,"6,004.33",510.59,304.68,"1,706.00","11,320.00",632.56,"6,572.22",33851,127149000
"4,419.00",6.58,"5,894.68",23.91,333.54,"1,688.00","11,111.00",650.07,"6,499.61",32301,127445000
"4,397.00",5.85,"5,197.26",22.71,335.17,"1,665.00","9,740.00",704.35,"6,410.36",34831,127718000
"4,379.00",6.42,"5,822.91",48.42,353.68,"1,701.00","10,912.00",661.86,"6,407.68",37697,127761000
"4,360.00",6.65,"6,052.36",12.05,347.97,"1,706.00","11,342.00",786.09,"6,448.41",37224,127773000
"4,343.00",6.34,"5,706.85",22.57,332.83,"1,688.00","10,695.00",606.12,"6,335.46",35464,127854000
"4,326.00",6.51,"5,812.24",18.6,350.47,"1,673.00","10,893.00",642.55,"6,392.33",35342,128001000
"4,308.00",6.78,"5,884.94",40.47,278.23,"1,627.00","11,028.75",595.72,"6,169.81",39453,128063000
"4,294.00",6.52,"5,652.16",16.94,239.59,"1,624.00","10,592.00",670.15,"6,082.24",41014,128047000
"4,282.00",6.51,"5,705.52",38.23,261.45,"1,628.00","10,604.00",664,"6,193.48",44674,128070000
"4,254.00",6.66,"5,713.52",25.18,260.73,"1,576.00","10,500.00",741.69,"6,069.11",48169,127833000
"4,246.00",6.74,,49.5,259.15,"1,581.00","10,654.00",627.34,,48633,127629000
"4,237.00",6.73,,19.32,256.66,"1,599.00","10,758.00",690.48,,40490,127445000
,6.7,,,,"1,575.00","10,549.00",,,38156,127276000
"1,800.00",1.45,"1,822.24",31.11,1.74,"1,880.00","2,732.00",17.64,"1,403.24",136,7139647
"1,800.00",1.38,"1,285.31",8.2,1.28,"1,399.00","1,927.00",58.1,"1,330.06",69,7302111
"1,800.00",1.29,700.35,,1.11,811,"1,050.00",105.35,"1,261.88",94,7449238
"1,850.00",1.14,423.54,,0.76,555,635,200,"1,240.31",78,7533336
"1,850.00",1.2,720.36,,0.05,900,"1,080.00",80,"1,061.23",96,7524447
"1,900.00",1.1,733.7,,0.05,"1,000.00","1,100.00",,"1,010.59",103,7404684
"1,900.00",1,667,,0,"1,000.00","1,000.00",,987.62,96,7196042
"1,950.00",1,667,,0,"1,000.00","1,000.00",,"1,005.84",106,6957265
"1,950.00",0.7,358.85,,0,774,538,200,"1,014.27",103,6770396
"2,000.00",1.19,"1,145.24",,4.05,"1,440.00","1,717.00",138.5,"1,082.01",107,6693764
"2,000.00",1.13,993.83,26.42,9.5,"1,317.00","1,490.00",131.6,"1,135.13",116,6749847
"2,030.00",1.21,"1,299.98",,5.37,"1,615.00","1,949.00",145.4,"1,244.40",120,6919801
"2,040.00",1.26,"1,360.01",,2.35,"1,612.00","2,039.00",71.5,"1,331.91",126,7169997
"2,040.00",1.29,840.42,1,0.83,978,"1,260.00",100,"1,349.47",132,7447853
"2,300.00",1.25,"1,208.60",3.94,0,"1,450.00","1,812.00",55,"1,392.89",137,7714880
"2,600.00",1.38,"1,396.03",,0,"1,520.00","2,093.00",80,"1,407.23",26,7960949
"3,000.00",1.32,"1,210.60",,0.2,"1,370.00","1,815.00",80,"1,563.21",17,8198082
"3,450.00",1.37,"1,667.50",,0.03,"1,825.00","2,500.00",105,"1,615.59",33,8435912
"3,685.00",1.44,"1,782.22",,0.08,"1,861.00","2,672.00",38.4,"1,678.64",40,8691334
"3,695.00",1.35,"1,667.50",,1.11,"1,855.00","2,500.00",25.8,"1,782.67",100,8975597
"3,700.00",1.4,"1,600.80",,1.54,"1,719.00","2,400.00",20,"1,937.70",216,9289299
"3,700.00",1.32,"1,481.41",,2.97,"1,685.40","2,221.00",81,"1,932.48",252,9623889
"3,716.00",1.31,"1,589.69",,3.93,"1,823.62","2,383.35",84,"2,023.48",242,9970733
"3,700.00",1.49,"1,483.07",,2.86,"1,494.60","2,223.50",51,"2,090.32",265,10317899
"3,700.00",1.79,"2,299.68",,2.65,"1,924.00","3,447.80",81,"2,242.28",320,10656138
"3,700.00",1.81,"2,270.47",5.62,2.11,"1,879.00","3,404.00",25.97,"2,096.02",316,10982917
"3,700.00",1.77,"2,277.75",3.6,5.92,"1,928.69","3,414.92",27.6,"2,135.75",302,11298600
"3,700.00",1.79,"2,341.08",0.7,2.06,"1,962.57","3,509.87",62.02,"2,300.31",268,11600508
"3,700.00",1.94,"2,695.28",3.44,0,"2,079.44","4,040.90",53.73,"2,387.14",294,11886458
"3,700.00",2.12,"2,685.40",6.37,0,"1,903.16","4,026.09",62.55,"2,460.65",300,12155239
"3,700.00",2.07,"2,734.04",7.02,0,"1,980.30","4,099.02",45.96,"2,401.13",320,12405408
"3,700.00",1.92,"2,549.61",3.85,5.83,"1,994.64","3,822.51",68.74,"2,440.66",338,12637727
"3,700.00",2.1,"3,142.21",2.28,3.86,"2,242.04","4,710.96",62.16,"2,475.13",361,12856163
"3,700.00",1.98,"2,781.58",5.18,5.36,"2,109.05","4,170.28",75.64,"2,401.64",406,13066469
"3,700.00",2.48,"3,992.80",2.32,8.11,"2,414.50","5,986.20",40.21,"4,060.81",471,13273354
"3,800.00",2.49,"4,178.17",5.23,7.79,"2,516.42","6,264.12",32.92,"4,138.10",536,13477709
"3,800.00",2.62,"4,486.91",2.98,8.75,"2,566.00","6,727.00",48.9,"4,759.80",628,13679962
"3,900.00",2.75,"4,786.04",5.54,7.25,"2,613.36","7,175.47",27.6,"4,840.78",742,13883834
"3,900.00",2.84,"5,059.77",17.22,9.58,"2,674.60","7,585.87",19.79,"5,067.84",735,14093604
"4,000.00",2.97,"5,499.63",51.18,11.51,"2,776.51","8,245.32",70.99,"5,509.06",782,14312212
"4,000.00",2.96,"5,855.59",174.04,15.47,"2,968.53","8,779.00",19.32,"5,716.93",878,14541423
"4,100.00",3.09,,196.62,16.6,"3,007.54","9,290.94",115.89,,951,14780454
"4,145.00",3.03,,361.25,14.21,"3,100.00","9,390.00",41.08,,1013,15026332
,3.01,,,,"3,100.00","9,324.00",,,1093,15274503
"7,900.00",1.75,233.45,,2.59,200,350,3,236.44,160,11475445
"7,910.00",1.9,266.8,,3.68,210,400,,266.8,135,11791215
"7,910.00",2,280.14,,3.11,210,420,,280.14,143,12108963
"7,910.00",2,280.14,,4.29,210,420,,280.14,174,12412950
"7,910.00",2.07,290.14,,4.6,210,435,,290.14,187,12689160
"7,910.00",2.13,298.82,,5.59,210,448,0.01,298.83,197,12943093
"7,910.00",1.9,266.8,,6.86,210,400,2,268.79,224,13171306
"7,910.00",2.04,285.48,,6.79,210,428,3,288.46,247,13341198
"7,910.00",2.13,292.81,,6.29,206,439,11,303.76,276,13411056
"7,910.00",2.17,276.8,,6.46,191,415,13.5,290.24,273,13356511
"7,910.00",2.24,260.13,,5.78,174,390,18,278.05,264,13171673
"7,910.00",2.2,242.79,,6.67,165.5,364,2,244.78,267,12882528
"7,910.00",2.26,233.45,,7.15,155,350,10,243.4,271,12537730
"7,910.00",2.24,222.78,,9.18,149,334,,222.78,275,12204292
"7,910.00",2.25,211.44,,9.22,141,317,,211.44,278,11938208
"7,910.00",2.24,224.11,,8.51,150,336,3.41,227.51,283,11736179
"7,910.00",2,216.11,,9.99,162,324,4.54,220.63,249,11604534
"7,910.00",1.91,228.78,,7.05,180,343,1.25,230.03,229,11618005
"7,910.00",1.88,213.44,,7.03,170,320,4.46,217.88,282,11868877
"7,910.00",1.9,222.11,,5.63,175,333,5,227.09,292,12412308
"7,910.00",1.94,223.44,,6.14,173,335,1,224.44,251,13299017
"7,910.00",1.71,200.1,,5.79,175,300,76,275.76,240,14485546
"7,824.00",1.71,200.1,,5.11,175,300,45,244.9,168,15816603
"7,703.00",1.9,228.11,,0,180,342,60,287.85,124,17075727
"7,653.00",2.29,260.13,,0,170,390,90,349.73,179,18110657
"7,647.00",1.94,226.78,,0.65,175,340,56.4,282.93,166,18853437
"7,685.00",2.22,266.8,,0.65,180,400,91,357.39,156,19357126
"7,757.00",2.5,300.15,,0.9,180,450,78,377.8,148,19737765
"7,653.00",2,186.76,,0.65,140,280,106,292.29,135,20170844
"7,683.00",2,173.42,,0.65,130,260,220,392.43,170,20779953
"7,683.00",2,161.41,,2.39,121,242,272,432.2,116,21606988
"7,678.00",2.87,258.8,,3.4,135,388,218,475.82,197,22600770
"7,772.00",2.99,289.48,,3.27,145,434,205.5,494.06,197,23680871
"7,816.00",2.37,308.82,,4.54,195,463,143.72,451.89,214,24726684
"7,805.00",3.03,323.5,,4.24,160,485,156.07,478.87,248,25654277
"7,794.00",3.38,360.18,,6.29,160,540,223.83,583.01,270,26433049
"7,794.00",3.25,368.18,,3.62,170,552,125.96,493.58,321,27100536
"7,794.00",3.22,408.2,,2.99,190,612,124.62,532.27,377,27722276
"7,793.00",3.22,430.22,,4.52,200,645,29.25,459.33,431,28394813
"7,793.00",3.23,448.22,,4.26,208,672,40.4,488.45,532,29185507
"7,791.00",3.2,448.22,,6.33,210,672,73.44,521.33,602,30117413
"7,790.00",2.44,333.5,,4.6,205,500,124.62,463.2,661,31161376
"7,785.00",2.5,341.57,,5.07,205,512.09,99.59,460.57,636,32269589
,2.44,,,,220,537,,,629,33370794
110,2,,,0,23.5,47,2.35,,216,306955
110,2,,,0,24,48,2.4,,221,316828
110,2,,,0,24.5,49,2.5,,241,326982
115,2,,,0.7,25,50,2.5,,275,337485
115,2,,,0.87,25.5,51,2.5,,249,348396
120,2,,,0.83,26,52,2.5,,246,359725
120,2,,,0.83,26.5,53,2.5,,263,371428
120,2,,,0.83,27,54,2.5,,245,383326
125,2,,,0.8,27.5,55,3,,266,395195
130,2,,,0.77,28.3,56.6,2.5,,308,406875
130,2.05,,,0.77,28,57.4,7.04,,324,418111
135,2.02,,,0.74,29,58.5,7.37,,332,428934
145,2,,,1.72,30,60,7.84,,350,439822
145,2.16,,,1.31,30.61,66,10.06,,354,451476
145,1.94,,,0.69,32,62,10,,356,464266
145,1.8,,,0.69,35,63,18.52,,390,478692
146,1.76,,,0.68,37,65,16.75,,456,494312
141,1.66,,,0.71,26.03,43.14,11.6,,507,509540
133,1.65,,,0.75,26,43,9.9,,493,522179
135,2.1,,,0.74,26.3,55.16,19.43,,525,530804
135,2.12,,0,0.74,26.17,55.49,23.81,,455,534632
135,2.11,,0.02,0.74,25.62,54.1,19.58,,452,534516
136,2.26,,0.05,0.74,26.04,58.95,22.24,,480,532596
140,1.61,,0.01,0.71,28,45,26.97,,494,531897
146,1.67,,0,0.68,30,50,24.94,,581,534620
151,1.74,,0.01,0.66,30.39,52.89,28.53,,606,541465
153,1.75,,0.03,0.65,30.49,53.22,29.01,,668,551709
153,1.79,,0.02,0,31.23,55.9,9.73,,716,564377
153,1.86,,0.07,0,31.81,59.28,38.7,,731,577881
106,1.7,,0.08,0,26,44.3,33.69,,773,591021
111,1.74,,0.03,0,23,40,9.63,,783,603640
111,2,,3.5,9.73,18.71,37.39,17.4,,843,616018
111,2.29,,0.04,9.91,19.63,44.9,30.81,,933,627839
158,2.88,,0,7.41,18.85,54.32,19.87,,1056,638815
167,2.69,,0.09,7.54,25.28,67.98,24.74,,1172,648739
151.3,2.75,,0.1,7.6,26.41,72.51,13.25,,1288,657410
136.3,2.7,,0.15,9.02,27.52,74.43,7.38,,1502,664876
100,4,,0.11,11.7,19.36,77.39,52.09,,1865,671613
100,2.8,,0.07,24,23.72,66.39,54.58,,1721,678323
100.6,3.14,,0.37,10.04,22.82,71.64,52,,1999,685503
100.2,3.24,,0.17,12.97,24.31,78.73,54.68,,2382,693298
100.2,3.69,,0.05,10.68,21.15,78.01,47,,2445,701583
100.2,3.7,,0.37,15.17,21.29,78.73,7.95,,2452,710238
,3.76,,,,20.36,76.62,,,2388,719056
"15,581.00",3.04,697.68,0.18,11.36,344,"1,046.00",60.49,761.54,469,29281591
"16,227.00",3.18,800.4,0.22,12.36,377,"1,200.00",91.87,897.44,570,30075297
"16,901.00",3.07,889.78,5.67,19.44,434,"1,334.00",11.69,895.7,876,30905707
"16,370.00",3.01,875.77,0.16,20.31,436,"1,313.00",191.46,"1,077.43",1454,31786471
"15,850.00",3.1,953.81,2.24,21.2,461,"1,430.00",286.15,"1,253.64",1582,32729772
"15,330.00",3.79,"1,044.72",0.33,22.27,413.35,"1,566.30",260.04,"1,318.56",2017,33733961
"14,969.00",3.47,933.63,0.08,27.28,403.79,"1,399.75",589.9,"1,555.35",2316,34803045
"14,192.00",3.95,"1,018.72",0.02,21.98,386.2,"1,527.31",271.42,"1,270.05",2169,35960805
"15,194.00",3.27,832.52,,31.11,381.39,"1,248.16",335.6,"1,144.34",2427,37237137
"12,981.00",2.84,874.14,,47.24,462.18,"1,310.55",364.76,"1,214.88",2380,38650246
"13,550.00",3.54,"1,082.99",0.16,50.56,459.11,"1,623.67",538.27,"1,590.22",2485,40199906
"14,141.00",3.32,"1,070.64",,63.42,483.14,"1,605.15",388.84,"1,430.90",3007,41869236
"14,400.00",2.83,810.79,,72.08,429.45,"1,215.58",559.55,"1,329.05",3538,43636837
"14,650.00",3.36,989.81,,63.19,441.55,"1,483.98",538.45,"1,500.71",3495,45472791
"14,900.00",3.71,"1,184.65",,60.72,478.59,"1,776.08",492.51,"1,646.90",3777,47347186
"15,150.00",3.79,"1,189.88",,60.1,471.03,"1,783.93",429.85,"1,591.12",4223,49260255
"15,400.00",3.42,"1,202.79",,61.45,526.96,"1,803.28",731.01,"1,884.12",5465,51193782
"15,580.00",3.04,946.02,,65.85,467.23,"1,418.32",188.67,"1,121.31",6138,53077313
"15,400.00",3.57,"1,236.63",,82.58,518.99,"1,854.01",794.14,"1,973.34",7129,54822003
"15,190.00",3.78,"1,321.34",,76.43,524.27,"1,981.02",558,"1,838.23",10556,56366217
"16,681.00",4.05,"1,571.85",,68.88,582.32,"2,356.60",574.28,"2,113.16",5418,57679034
"16,969.00",3.96,"1,574.21",,79.55,596.04,"2,360.14",849.45,"2,361.10",872,58780370
"17,332.00",3.88,"1,521.27",,51.99,588.47,"2,280.77","1,042.66","2,487.14",1131,59723764
"17,337.00",4.01,"1,506.73",0.13,57.91,563.38,"2,258.97",433.4,"1,907.91",1413,60590614
"17,388.00",4.07,"1,534.70",,58.5,565.58,"2,300.90","1,469.70","2,896.18",1955,61442664
"17,097.00",4.47,"1,790.74",,63.13,600.33,"2,684.77","1,035.00","2,749.52",2620,62294920
"16,502.00",4.17,"1,567.53",0.23,73.15,563.21,"2,350.12",573.75,"2,098.15",3041,63136312
"16,837.00",4.51,"1,847.97",0.01,75.31,614.96,"2,770.57",568.16,"2,373.38",3364,63971836
"16,337.00",4,"1,566.28",0.42,81.43,587.15,"2,348.24",766.8,"2,274.14",4388,64800880
"14,924.00",3.69,"1,314.96",0.42,93.38,534.33,"1,971.46","1,016.52","2,255.11",5698,65623405
"15,861.00",3.87,"1,327.48",0.28,83.58,514.79,"1,990.22",700.53,"1,974.79",5120,66449112
"16,029.00",4.73,"1,926.30",0.21,78.74,611,"2,888.00",868.98,"2,844.22",1957,67284796
"16,197.00",4.76,"1,955.07",0.31,80.29,615.28,"2,931.14",945.73,"2,951.04",2273,68122938
"16,365.00",4.16,"1,695.81",0.18,103.75,611.45,"2,542.44",984.45,"2,733.75",2734,68951281
"16,533.00",4.36,"1,825.47",0.92,95.05,628.1,"2,736.84","1,162.88","3,049.01",3288,69762347
"16,701.00",4.14,"1,742.32",0.76,113.96,630.56,"2,612.18","1,249.47","3,052.14",3835,70554760
"16,869.00",4.33,"1,777.05",10.6,90.04,615.91,"2,664.24","1,009.41","2,823.14",4929,71336475
"15,545.00",4.14,"1,456.70",1.94,99.85,526.92,"2,183.96","1,199.14","2,719.82",5621,72120604
"15,411.00",4.21,"1,503.03",0.54,77.78,535.81,"2,253.42",802.85,"2,355.19",5609,72924837
"15,278.00",5.35,"2,009.50",0.24,59.18,563.52,"3,012.74","1,132.22","3,204.83",6505,73762519
"15,144.00",3.57,"1,831.96",0.11,30.37,530,"1,893.01","1,125.60","3,020.95",7681,74634956
"15,011.00",4.14,,1.22,30.76,570,"2,360.00","1,026.12",,5118,75539862
"14,878.00",4.34,,1.31,32.75,565,"2,450.00","2,180.13",,5152,76481943
,4.41,,,,590,"2,600.00",,,5396,77465753
"4,848.00",2.81,204.57,0,4.18,109.08,306.7,96.72,209.34,377,10255850
"5,000.00",2.85,178.76,0,4.53,94,268,33.31,212.42,388,10599668
"5,000.00",2.45,104.47,,5.73,63.96,156.62,15.98,216.62,469,10950888
"5,100.00",2.21,46.22,0,6.75,31.42,69.29,197.93,220.98,1018,11312062
"5,100.00",2.03,40.38,,6.41,29.88,60.54,151.2,213.39,1152,11684590
"5,100.00",3.12,108.96,,8.43,52.41,163.36,194.29,263.98,1471,12068676
"5,100.00",3.14,132.89,,10.63,63.48,199.24,235,319.86,1592,12462070
"5,200.00",3.14,114.72,,11.28,54.72,172,290,337.06,1848,12860680
"5,250.00",2.69,105.25,,19.43,58.7,157.8,320,408.43,2852,13259113
"5,250.00",3.01,111.32,,17.58,55.45,166.9,400,439.77,3912,13653354
"5,250.00",2.98,108.19,,14.63,54.5,162.2,350,461.9,2736,14044117
"5,250.00",2.84,108.99,,15.28,57.62,163.4,370,482.92,2951,14432468
"5,250.00",2.26,73.7,2.75,16.74,48.9,110.5,440,515.59,2740,14815656
"5,250.00",2.78,72.5,0.07,29.49,39.15,108.7,510,587.84,3081,15190393
"5,250.00",2.83,99.32,,34.38,52.52,148.9,500,604.62,3104,15555800
"5,250.00",2.81,94.18,,37.37,50.2,141.2,550,650.01,2962,15909762
"5,250.00",2.8,130.66,0.77,41.47,70,195.9,524,689.77,3482,16257070
"5,300.00",2.79,93.78,1.5,44.85,50.48,140.6,603,701.66,3762,16612322
"5,000.00",3.19,154.61,1.7,43.08,72.75,231.8,542,733.99,3862,16994948
"5,000.00",2.89,152.61,0.55,41.4,79.2,228.8,380,670.49,10327,17419113
"5,400.00",2.2,126.13,,24.94,85.92,189.1,300,520.27,334,17889459
"5,300.00",1.89,120.06,,39.62,95,180,450,554.62,384,18402734
"5,600.00",1.87,137.4,,62.14,110,206,655,577.01,266,18955085
"5,050.00",2.35,255.46,,76.04,163,383,200,508.11,206,19539340
"4,800.00",1.8,210.1,,69.56,175,315,225,518.34,173,20149338
"4,800.00",2.25,180.09,,73.83,120,270,214,507.53,293,20783073
"4,400.00",2.02,162.75,,81.09,121,244,684,712.52,472,21439574
"4,650.00",2.34,200.1,0.28,82.43,128,300,629,754.64,473,22114324
"4,550.00",1.38,120.06,25.42,85.3,130,180,781,833.12,809,22802064
"4,100.00",0.6,40.02,,90.54,100,60,"1,200.00","1,045.57",1100,23497585
"4,300.00",1.28,85.38,10.52,148.65,100,128,"1,278.17","1,063.28",782,24208180
"4,650.00",2.5,166.75,10.81,0,100,250,"1,162.00","1,087.61",761,24931919
"4,500.00",3.05,60.03,1.23,0,29.5,90,433.5,"1,002.19",609,25644499
"4,500.00",2.84,166.75,2.03,24.36,88,250,651.64,"1,025.38",1374,26313838
"5,200.00",2.89,206.1,0.09,41.61,107,309,830.64,994.93,1829,26922284
"4,800.00",2.89,242.12,,46.25,125.75,363,"1,329.09","1,130.53",2321,27448124
"4,950.00",3.16,262.13,,37.57,124.25,393,735.9,"1,177.64",3091,27911248
"4,000.00",2.93,165.52,,56.94,84.75,248.16,"1,051.92","1,228.63",4472,28385746
"3,650.00",3.15,115.44,0.05,72.49,54.92,173.07,"1,099.56","1,226.65",3702,28973162
"4,000.00",3.25,103.94,0.05,34.29,47.97,155.83,"1,123.17","1,158.12",4474,29741976
"4,300.00",3.58,156.82,0.05,39.1,65.74,235.12,"1,122.22","1,089.20",5849,30725300
"4,338.50",4.55,,0.04,44.68,79.47,361.34,"1,384.17",,6693,31890011
"5,000.00",4.72,,0.04,43.57,95.81,451.85,"1,317.73",,7021,33157050
,4.74,,,,92.06,435.92,,,6819,34411951
,,,,,,,,, ,13250213
,,,,,,,,, ,13463985
,,,,,,,,, ,13673007
,,,,,,,,, ,13869975
,,,,,,,,, ,14050226
,,,,,,,,, ,14212145
,,,,,,,,, ,14359624
,,,,,,,,, ,14499952
,,,,,,,,, ,14643133
,,,,,,,,, ,14796174
,,,,,,,,, ,14958908
,,,,,,,,, ,15128087
,,,,,,,,, ,15303309
,,,,,,,,, ,15483419
,,,,,,,,, ,15665595
,,,,,,,,, ,15852525
,,,,,,,,, ,16039251
,,,,,,,,, ,16206002
,,,,,,,,, ,16249500
,,,,,,,,,1647,16348000
,,,,,,,,,1512,16450500
"35,055.00",3.99,311.49,,13.55,117,467,0.2,311.69,169,16439095
"35,040.00",3.69,268.8,7.6,9.25,109.3,403,1,262.03,305,16330419
"34,683.00",2.71,188.76,20.5,3.49,104.3,283,1.7,169.47,752,16095199
"34,716.50",2.19,123.03,34.66,2.74,84.1,184.45,0.61,88.2,1061,15815626
"33,007.60",2.62,150.9,21.21,3.97,86.5,226.24,4.35,131.44,1359,15577894
"32,551.80",3.08,170.32,9.07,1.72,82.8,255.35,6.23,160.61,1459,15333703
"32,154.80",3.22,157.46,24.74,0.4,73.4,236.07,1.13,131.56,1480,15071300
"32,056.30",2.81,132.93,42.41,1.07,71,199.3,2.92,99.21,1132,14928426
"30,159.30",2.97,142.94,6.19,1.23,72.1,214.3,2.37,139.5,1230,14883626
"29,359.70",2.87,132.53,6.58,1.72,69.2,198.7,0.95,105.43,1492,14858335
"28,345.90",3.03,132.79,4.34,0.84,65.73,199.09,32.11,151.11,1657,14858948
"28,343.60",3.27,182.32,5.66,1.19,83.5,273.34,12.08,153.66,2062,14909018
"28,478.80",3.62,183.99,73.76,1.48,76.3,275.85,2.51,166.74,2863,15012985
"28,562.30",3.35,189.83,33.4,1.43,84.9,284.6,3.91,165.63,3753,15147029
"28,616.00",3.3,192.62,24.05,1.45,87.6,288.78,8.93,177.03,5261,15308084
"28,641.20",3.37,196.33,41.76,2.06,87.4,294.35,13.61,168.1,6733,15484192
"28,519.80",3.37,169.89,26.25,1.08,75.5,254.71,20.44,163.73,8349,15674000
"28,618.20",3.54,204.77,6.42,1.97,86.7,307,34.32,169.96,7116,16092822
"28,683.80",3.97,248.89,19.63,1.32,94,373.15,18.47,174.33,9005,16321872
"29,180.60",3.72,231.32,62.97,1.42,93.3,346.76,15.22,171.05,11553,16557201
"29,332.50",3.77,,46.67,4.42,93.05,350.83,24.91,,12300,16792089
"29,394.70",3.85,,52.85,2.89,89.4,344.3,16.82,,13789,17035550
,3.96,,,,95.2,377,,,12714,17288285
