Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
"18,000.00",3.74,"22,400.33",,88.5,"8,988.46","33,583.70",309.64,"23,080.14",742,154468229
"18,000.00",3.85,"23,547.11",,85.82,"9,162.47","35,303.01","1,168.48","23,211.10",659,158009246
"18,021.00",3.91,"25,437.01",,104.21,"9,763.58","38,136.45",414.33,"24,125.36",672,161523347
"19,500.00",3.94,"26,034.97",258.71,100.26,"9,902.29","39,032.94",33.83,"25,512.37",658,164982451
"20,178.00",3.98,"26,497.75",133.81,101.57,"9,988.45","39,726.77",27.76,"25,385.22",610,168374287
"21,170.00",4.04,"26,732.15",32.72,105.51,"9,922.59","40,078.19",54.98,"27,291.03",563,171702763
"21,156.00",4.11,"27,798.01",,117.27,"10,138.16","41,676.18",32.73,"28,375.73",622,174975954
"20,860.00",4.25,"29,831.96",105.49,111.77,"10,531.21","44,725.58",268.2,"29,499.01",697,178209150
"20,253.00",4.3,"30,134.23",1.91,123.48,"10,502.36","45,178.75",49.39,"30,203.60",771,181413402
"18,081.00",4.35,"29,807.06",0.64,132.74,"10,281.52","44,688.24",170.97,"30,008.36",848,184591903
"18,100.00",4.34,"32,176.08",42.48,142.71,"11,103.32","48,240.01",609.56,"31,749.02",908,187739786
"18,129.00",4.38,"32,136.78",350.61,127.81,"11,012.78","48,181.09",23.78,"32,174.12",1013,190851175
"17,126.00",4.35,"31,109.88",169.14,144.05,"10,733.80","46,641.50",629.86,"32,250.49",1116,193917462
"17,342.00",4.35,"33,179.34",0,145.84,"11,438.76","49,744.14","3,154.91","35,389.01",1254,196934260
"17,941.00",4.42,"34,084.70",0.2,151.38,"11,569.73","51,101.50","2,147.78","35,153.82",1394,199901228
"18,500.00",4.43,"32,934.50",0.06,120.41,"11,140.59","49,377.06",329.31,"34,584.65",1308,202826446
"18,700.00",4.2,"32,840.88",1.79,145.87,"11,730.20","49,236.70","2,891.68","35,905.45",572,205724592
"19,700.00",4.25,"33,927.88",2.44,128.15,"11,963.20","50,866.39","4,671.22","38,647.44",830,208615169
"20,500.00",4.4,"34,615.97",1.12,121.63,"11,793.00","51,898.00","1,338.99","36,076.40",870,211513823
"20,200.00",4.39,"33,657.35",3.79,130.61,"11,500.00","50,460.80",639.54,"34,915.04",834,214427417
"20,081.00",4.47,"34,343.63",3.89,123.96,"11,521.17","51,489.70","1,790.32","36,170.44",1003,217357793
"22,406.00",4.54,"34,775.78",0.67,131.13,"11,477.36","52,137.60","1,613.42","36,422.08",1187,220309469
